NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 3, at cycle: 921355.000000
NEW_JOB_RELEASED, task 1, job 6, at cycle: 979118.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 6, at cycle: 979213.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 6, at cycle: 979300.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 6, at cycle: 979316.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 6, at cycle: 979336.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 6, at cycle: 979343.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 6, at cycle: 979421.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 6, at cycle: 979423.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 6, at cycle: 979442.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 6, at cycle: 979444.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 6, at cycle: 979470.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 6, at cycle: 979479.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 6, at cycle: 979503.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 6, at cycle: 979563.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 6, at cycle: 979565.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 6, at cycle: 979629.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 6, at cycle: 979631.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 6, at cycle: 979714.000000
NEW_JOB_RELEASED, task 1, job 7, at cycle: 1096118.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 7, at cycle: 1096215.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 7, at cycle: 1096300.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 7, at cycle: 1096314.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 7, at cycle: 1096333.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 7, at cycle: 1096340.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 7, at cycle: 1096420.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 7, at cycle: 1096422.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 7, at cycle: 1096439.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 7, at cycle: 1096442.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 7, at cycle: 1096466.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 7, at cycle: 1096475.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 7, at cycle: 1096498.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 7, at cycle: 1096559.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 7, at cycle: 1096561.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 7, at cycle: 1096625.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 7, at cycle: 1096627.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 7, at cycle: 1096711.000000
NEW_JOB_RELEASED, task 2, job 4, at cycle: 1135471.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 4, at cycle: 1135563.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 4, at cycle: 1135653.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 4, at cycle: 1135668.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 4, at cycle: 1135687.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 4, at cycle: 1135694.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 4, at cycle: 1135753.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 4, at cycle: 1135755.000000
